frame_idx,dx_to_prev,dy_to_prev,dtheta_to_prev,a00,a01,a02,a10,a11,a12
125,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-12.855003357,0.001745329,0.999998450,-32.058406830
126,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-12.855003357,0.001745329,0.999998450,-32.058406830
127,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-12.855003357,0.001745329,0.999998450,-32.058406830
128,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-12.855003357,0.001745329,0.999998450,-32.058406830
129,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-12.855003357,0.001745329,0.999998450,-32.058406830
130,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-12.855003357,0.001745329,0.999998450,-32.058406830
131,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-12.855003357,0.001745329,0.999998450,-32.058406830
132,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-12.855003357,0.001745329,0.999998450,-32.058406830
133,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-12.855003357,0.001745329,0.999998450,-32.058406830
134,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-12.855003357,0.001745329,0.999998450,-32.058406830
135,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-12.855003357,0.001745329,0.999998450,-32.058406830
136,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-12.855003357,0.001745329,0.999998450,-32.058406830
137,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-12.855003357,0.001745329,0.999998450,-32.058406830
138,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-12.855003357,0.001745329,0.999998450,-32.058406830
139,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-12.855003357,0.001745329,0.999998450,-32.058406830
140,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-12.855003357,0.001745329,0.999998450,-32.058406830
141,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-12.855003357,0.001745329,0.999998450,-32.058406830
142,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-12.855003357,0.001745329,0.999998450,-32.058406830
143,0.000000,0.000000,0.000000,0.999998450,-0.001745328,-12.855003357,0.001745329,0.999998450,-32.058406830
